# https://cloud.google.com/vpc/docs/subnets#ip-ranges
asia-east1	10.140.0.0/20	10.140.0.1	10.140.0.2 to 10.140.15.253
asia-east2	10.170.0.0/20	10.170.0.1	10.170.0.2 to 10.170.15.253
asia-northeast1	10.146.0.0/20	10.146.0.1	10.146.0.2 to 10.146.15.253
asia-northeast2	10.174.0.0/20	10.174.0.1	10.174.0.2 to 10.174.15.253
asia-northeast3	10.178.0.0/20	10.178.0.1	10.178.0.2 to 10.178.15.253
asia-south1	10.160.0.0/20	10.160.0.1	10.160.0.2 to 10.160.15.253
asia-south2	10.190.0.0/20	10.190.0.1	10.190.0.2 to 10.190.15.253
asia-southeast1	10.148.0.0/20	10.148.0.1	10.148.0.2 to 10.148.15.253
asia-southeast2	10.184.0.0/20	10.184.0.1	10.184.0.2 to 10.184.15.253
australia-southeast1	10.152.0.0/20	10.152.0.1	10.152.0.2 to 10.152.15.253
australia-southeast2	10.192.0.0/20	10.192.0.1	10.192.0.2 to 10.192.15.253
europe-central2	10.186.0.0/20	10.186.0.1	10.186.0.2 to 10.186.15.253
europe-north1	10.166.0.0/20	10.166.0.1	10.166.0.2 to 10.166.15.253
europe-west1	10.132.0.0/20	10.132.0.1	10.132.0.2 to 10.132.15.253
europe-west2	10.154.0.0/20	10.154.0.1	10.154.0.2 to 10.154.15.253
europe-west3	10.156.0.0/20	10.156.0.1	10.156.0.2 to 10.156.15.253
europe-west4	10.164.0.0/20	10.164.0.1	10.164.0.2 to 10.164.15.253
europe-west6	10.172.0.0/20	10.172.0.1	10.172.0.2 to 10.172.15.253
europe-west8	10.198.0.0/20	10.198.0.1	10.198.0.2 to 10.198.15.253
europe-west9	10.200.0.0/20	10.200.0.1	10.200.0.2 to 10.200.15.253
europe-southwest1	10.204.0.0/20	10.204.0.1	10.204.0.2 to 10.204.15.253
me-west1	10.208.0.0/20	10.208.0.1	10.208.0.2 to 10.208.15.253
northamerica-northeast1	10.162.0.0/20	10.162.0.1	10.162.0.2 to 10.162.15.253
northamerica-northeast2	10.188.0.0/20	10.188.0.1	10.188.0.2 to 10.188.15.253
southamerica-east1	10.158.0.0/20	10.158.0.1	10.158.0.2 to 10.158.15.253
southamerica-west1	10.194.0.0/20	10.194.0.1	10.194.0.2 to 10.194.15.253
us-central1	10.128.0.0/20	10.128.0.1	10.128.0.2 to 10.128.15.253
us-east1	10.142.0.0/20	10.142.0.1	10.142.0.2 to 10.142.15.253
us-east4	10.150.0.0/20	10.150.0.1	10.150.0.2 to 10.150.15.253
us-east5	10.202.0.0/20	10.202.0.1	10.202.0.2 to 10.202.15.253
us-south1	10.206.0.0/20	10.206.0.1	10.206.0.2 to 10.206.15.253
us-west1	10.138.0.0/20	10.138.0.1	10.138.0.2 to 10.138.15.253
us-west2	10.168.0.0/20	10.168.0.1	10.168.0.2 to 10.168.15.253
us-west3	10.180.0.0/20	10.180.0.1	10.180.0.2 to 10.180.15.253
us-west4	10.182.0.0/20	10.182.0.1	10.182.0.2 to 10.182.15.253
